,Grammatical_info,Count
0,,26
1,Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing,5
2,<root>,4
3,Case=Nom|Degree=Pos|Number=Plur,3
4,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,2
5,Degree=Pos,2
6,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,2
7,Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act,2
8,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur,1
9,Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur,1
10,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,1
11,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,1
12,Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,1
13,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,1
14,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,1
15,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,1
16,Aspect=Imp|VerbForm=Inf|Voice=Act,1
17,Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,0
18,Foreign=Yes,0
19,Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass,0
20,Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing,0
21,Case=Loc|Degree=Pos|Gender=Neut|Number=Sing,0
22,Case=Nom|Number=Plur,0
23,Aspect=Perf|VerbForm=Inf|Voice=Act,0
24,Case=Loc|Degree=Pos|Number=Plur,0
25,Case=Gen|Number=Plur,0
26,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,0
27,Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur,0
28,Case=Nom|Gender=Masc|Number=Sing,0
29,Polarity=Neg,0
30,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,0
