,Word,Count
0,монета,21
1,остров,18
2,британский,13
3,офшорный,12
4,франшиза,11
5,пиво,11
6,индекс,10
7,офшор,10
8,оксана,10
9,ноутбук,10
10,вычет,9
11,расти,8
12,принципиальный,8
13,система,8
14,дорожать,8
15,руб,8
16,токенов,8
17,апартамент,8
18,элитный,8
19,бриллиант,8
20,самокат,8
21,деньга,7
22,экспорт,7
23,телевизор,7
24,фунт,7
25,баррель,7
26,финансов,7
27,федерал,7
28,конфискация,7
29,ахмадуллинои,7
30,василии,7
31,год,6
32,народ,6
33,размещение,6
34,вырасти,6
35,рубль,6
36,срп,6
37,виргинский,6
38,имя,6
39,тюльпан,6
40,пив_amp,6
41,снизиться,5
42,возраст,5
43,отношение,5
44,покупателеи,5
45,состояние,5
46,материал,5
47,владеть,5
48,должность,5
49,источник,5
50,продуктов_питания,5
51,региональный,5
52,детеи,5
53,образование,5
54,строительство,5
55,американец,5
56,выпустить,5
57,рентабельность,5
58,сообщать,5
59,базель,5
60,богатство,5
61,западный,5
62,кипре,5
63,иис,5
64,возняк,5
65,стив,5
66,коллектор,5
67,закрытие,5
68,мода,5
69,подорожать,5
70,треугольник,5
71,цветок,5
72,пивко,5
73,посёлок,5
74,семеиное,5
75,сми,4
76,импорт,4
77,парень,4
78,продать,4
79,уменьшаться,4
80,биткоина,4
81,сложность,4
82,завод,4
83,олигарх,4
84,частный,4
85,пригласить,4
86,декларация,4
87,институт,4
88,полуфабрикат,4
89,потребность,4
90,сургутнефтегаз,4
91,камень,4
92,модель,4
93,сегмент,4
94,гипермаркет,4
95,путешествовать,4
96,ипотечный,4
97,ассортимент,4
98,фильм,4
99,девелопер,4
100,кипр,4
101,эппл,4
102,алены,4
103,оксаны,4
104,вероятность,4
105,миллиона_баррелеи,4
106,святои,4
107,дефляция,4
108,экспортный,4
109,дисконт,4
110,газ,3
111,инженер,3
112,начинать,3
113,цена,3
114,банк,3
115,погашение,3
116,резервирование,3
117,сумма,3
118,экономика,3
119,астрономический,3
120,брать,3
121,заведение,3
122,закон,3
123,купить,3
124,общий,3
125,покупатель,3
126,покупка,3
127,получше,3
128,рублеи,3
129,слишком,3
130,способность,3
131,справедливый,3
132,акция,3
133,другие,3
134,кампания,3
135,открытие,3
136,падение,3
137,составлять,3
138,торг,3
139,криптовалюту,3
140,жильё,3
141,нужный,3
142,утечка,3
143,юкос,3
144,альткоины,3
145,днеи,3
146,кит,3
147,промышленнои,3
148,аккумулировать,3
149,выход,3
150,инструмент,3
151,информационный,3
152,информация,3
153,контроль,3
154,мера,3
155,отчётность,3
156,приводить,3
157,реализация,3
158,усложнение,3
159,широкий,3
160,бюджетный,3
161,спортивный,3
162,закрыть,3
163,крипта,3
164,четверг,3
165,застроищик,3
166,капитализация,3
167,политик,3
168,март,3
169,мере,3
170,косметика,3
171,круто,3
172,насколько,3
173,платёж,3
174,экзамен,3
175,треидеров,3
176,золотой,3
177,центральный,3
178,депозит,3
179,регион,3
180,ограничение,3
181,энергия,3
182,онлаин,3
183,объединение,3
184,регионал,3
185,доверие,3
186,жарскии,3
187,поглощение,3
188,респондент,3
189,россииских,3
190,слияние,3
191,трлн,3
192,ук,3
193,газовый,3
194,дочь,3
195,огласить,3
196,офис,3
197,оффшор,3
198,письмо,3
199,принадлежать,3
200,секретность,3
201,белый,3
202,ощущение,3
203,ясность,3
204,недодали,3
205,кикшеринга,3
206,гик,3
207,взаимосвязь,3
208,фаворит,3
209,пошлина,3
210,давность,3
211,лес,3
212,адвокат,3
213,ален,3
214,подруга,3
215,аванс,3
216,броилера,3
217,неликвид,3
218,баррелеи,3
219,благодарение,3
220,преддверие,3
221,икра,3
222,теплица,3
223,точка,3
224,бонуснои,3
225,копить,3
226,заградительный,3
227,оружеиная,3
228,импортный,3
229,национальнои,3
230,оборудование,3
231,драгоценный,3
232,сомнительный,3
233,таблица,3
234,новостроики,3
235,замужем,3
236,московскии,3
237,батарея,2
238,бонус,2
