,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.4818,"версия, также, серия, память, новый, год, камера, использоваться, смартфон, функция","В апреле 2019 года будет выпущен абсолютно новый BMW 7-й серии 2020 года с более смелым экстерьером и широким выбором трансмиссий и моторов – от рядной шестерки с турбонаддувом до гибридной версии. Флагманский седан может похвастать ярким дизайном: традиционная двойная радиаторная решетка окаймлена рамкой, площадь которой увеличилась на 40 процентов по сравнению с предыдущей моделью. Для элегантности в сочетании с большой решеткой радиатора используются новые тонкие светодиодные фары и крупные воздухозаборниками. Более строгие кузовные линии определяют дизайн задней части новой БМВ 7, светодиодные задние фонари выполнены в виде одной линии. Семерка порадует колесной базой на 3,21 м. Она может похвастать 1,12-метровым пространством для ног задних пассажиров и 1,04-метровым пространством для ног передних пассажиров. Общая длина авто составляет 5,27 м. Пять различных версий Новая 7-я серия будет предлагаться в пяти версиях. Первая – 740i с задним приводом, которая комплектуется шестицилиндровым двигателем с турбонаддувом, выдающим 335 лошадиных сил, крутящий момент ДВС достигает 330 Н·м. 740i xDrive оснащен тем же мотором и полным приводом. Эти модели разгоняются до сотни за 5,3 и 4,8 сек соответственно. Версия 750i xDrive оснащена 4,4-литровым двигателем V8 с турбонаддувом мощностью 523 лошадиные силы. Его крутящий момент достигает 553 Н·м. Также для авто используется полный привод. Авто разгоняется до 100 км в час за 3,9 секунды. M760i xDrive также комплектуется полным приводом и двигателем V12, развивающим 600 лошадиных сил и крутящий момент в 627 Н·м. Данный ДВС разгоняет автомобиль до сотни за 3,6 секунды. Завершает модельный ряд версия xDrive 745e. Суммарная мощность системы турбированного шестицилиндрового ДВС и 113-сильного электромотора составляет 389 лошадиных сил, а крутящий момент – 442 Н·м. Поступающий в продажу в апреле гибридный 745e обладает большей мощностью, нежели предшественники, и большей дальностью при движении в полностью электрическом режиме. В 745e xDrive используется литий-ионная батарея мощностью 12,0 кВтч, которая хранится под задними сиденьями, высвобождая больше места в багажнике автомобиля. Полностью электрический привод PHEV будет анонсирован ближе к старту продаж седана. Все модели BMW 7 оснащены 8-ступенчатой автоматической коробкой передач. Другие особенности BMW 7 В интерьере BMW 7-й серии используются полностью цифровые приборы и новейшее поколение BMW iDrive с интеллектуальным распознаванием голоса и функцией управления жестами. Среди стандартных функций нового BMW 7 серии 2020 года числятся динамическое управление амортизаторами, пневматическая подвеска, двери с дотяжкой, панорамный люк на крыше, аудиосистема премиум-класса Harman-Kardon, беспроводная зарядка, точка доступа Wi-Fi, Apple CarPlay и Android Auto. BMW 7 серии 2020 года поступит в продажу в апреле этого года, а цены будут объявлены ближе к его запуску. Текущие цены BMW 7 серии начинаются с 83 650 долларов за 740i, M760i xDrive стоит от 156 700 долларов."
1,1.0,0.3399,"история, имя, платье, сегодня, стать, любить, мероприятие, представить, дело, выбрать","Ваша история может закончиться, а может начаться. Прямо сейчас от пристани под названием «Ваша жизнь» отправляются два лайнера. С виду они одинаковы и ничем ни отличаются, и вы можете запрыгнуть на любой из них. Но один называется «Титаник», а другой - «Большой Успех». И вся правда жизни заключается в том, какой корабль вы выберете. Выбор судьбы - это всегда так просто и так сложно! Выбор судьбы - это всегда выбор между богатством и бедностью, счастьем и несчастьем. Давайте вместе представим самого талантливого, трудолюбивого, сильного, гениального и конкурентоспособного человека на Земле, который выбрал «Титаник»... Ну и что с того, что он самый сильный, талантливый, умный и гениальный? Он сделал роковой выбор. Каждый день судьба, Вселенная посылает нам знаки, приглашает нас выбрать богатство или бедность, успех или поражение. Это не просто статья, это самый главный знак вашей жизни. Решительно и смело прямо сейчас покупайте билет на самый главный лайнер успеха, на самый прочный, богатый лайнер судьбы - Winners Academy."
2,2.0,0.3785,"хотеть, курс, важный, человек, очень, искать, канал, людеи, какои, решить","Привет! На связи Анастасия Лебедева, автор курса “Блогерство Начистоту”. И да, я действительно профессионально обучаю людей быть блогерами! По профессии мне приходится сталкиваться с недовольством людей, ругающих блогеров. Они называют их бездельниками, “гоняющими балду”. И все бы хорошо, но обычно эти критики, мягко говоря, не реализовали себя по жизни и ничего не достигли. Реальность такова: все больше людей мечтают стать блогерами. Не только “сопливые подростки”, как часто пытаются это представить, но и совершенно осознанные люди задумываются о том, что им нужен блог. Это перестанет удивлять, как только вы поймете, какие преимущества дает блогерство. Расскажу на собственных примерах, что мне дал мой блог. Во-первых, я получила возможность быть участником СМИ. Да, блогеры с количеством подписчиков от 5-10k могут пробовать проходить аккредитацию. Что это дает? Возможность бесплатно посещать практически любые концерты, выставки, вечеринки, форумы и т.д. Особенности прохождения аккредитации индивидуальны в каждом случае, но подробный алгоритм я даю на курсе “Блогерство начистоту”. Что блогер дает мероприятию взамен? Посты-отзывы и интересные сториз с места событий. Во-вторых, когда я стала блогером, то начала получать предложения о бартере. Это вариант рекламы, когда вам присылают какую-то вещь или инфопродукт (курс, тренинг и т.д.), вы его тестируете, делаете фотографии и пишете свой отзыв. Например, таким образом сейчас мы тестируем коляску мечты для дочери, которую получили бесплатно в обмен на отзывы. Одежда, косметика, предметы интерьера, парфюм, украшения, услуги мастеров — и это далеко не весь список того, что можно получить по бартеру. Также блогер может стать амбассадором (представителем бренда) на постоянных условиях. В этом случае обычно вы не только получаете продукт бренда, но и оплату за свой труд. Следующая привилегия блогерства — одна из моих любимых. Это защищенность! Блогеру с активной аудиторией в разы проще отстаивать свои права (если блог не политический, конечно;) Например, недавно мы были на отдыхе и столкнулись в отеле с совершенно неприемлемым отношением персонала. Были проблемы с номером, которые не удалось решить словами. Тогда я записала сториз с отметкой отеля. В истории я рассказала подписчикам, почему этот отель — вообще не вариант для отдыха. И что вы думаете? Увидев сториз, администрация отеля кинулась нас искать, и нашли в итоге на пляже. Они действительно бегали, суетились, выкрикивали наши имена... Хотя до этого вообще не шли на диалог, понимаете? Найдя нас, сотрудники отеля принесли извинения и переселили в другое, куда более комфортабельное место для VIP-гостей. Итак, я перечислила несколько привилегий, которые дает блогерство. И это только верхушка айсберга: посмотрите, я почти не говорила про монетизацию, размещение рекламы и преимущества, которые дает блогерство вашему бизнесу! Хотите узнать больше о том, зачем нужно вести блог? Напишите, если вам интересно продолжение — и подписывайтесь на канал, вас ждет много работающей информации об увеличении доходов и блогерстве. Автор: Анастасия Лебедева, автор курса “Блогерство Начистоту” ."
3,3.0,0.4259,"проект, часть, дом, тип, вид, вариант, комната, отличный, площадь, изделие","Этот проект отличается от привычного нам традиционного лофта. Здесь нет красного кирпича или обилия всевозможных предметов, собранных из разных эпох и сфер жизни. В этом интерьере решили по максимуму сохранить свободное пространство и обилие света. Задачи Интерьер данного дома был создан для пары – молодого мужчины и его девушки. Оба развивают свой бизнес и много времени проводят на работе. Вследствие большой занятости им некогда отвлекаться на мелочи, поэтому наши герои предпочли, чтобы в помещении не было лишних деталей и мебели. Так, основным стилем проекта был выбран современный с отголосками минимализма и лофта. Особенности планировки Трехэтажный (в первичном своем виде) таунхаус площадью 160 кв. м имеет непростую конфигурацию – в виде трапеции. Данная особенность прослеживается лейтмотивом по всему жилищу – в расположении стен, линиях скошенных трапециевидных потолков, сложных архитектурных пересечениях плоскостей по всему проекту. Было решено на чердачном этаже обустроить просторную ванную комнату. С помощью дополнительно спроектированной лестницы на чердачное пространство трехэтажный таунхаус превратился в четырехэтажный, что позволило разгрузить оставшиеся площади и разместить гостевые комнаты на втором этаже. Гостиная Центром всего жилища стала гостиная. Визуально она заключена в «короб», отделанный состаренным дубом. Данное решение является частью продуманной планировки, так как на первом этаже имеется несносимая опора, которая по ряду причин не позволяла сделать помещение комфортным для заказчика. Одна из стен получившегося «куба» является перегородкой между гостиной и кухней – этот прием позволил скрыть хозяйственную часть. Кухня Кухня выполнена по схожему с гостиной принципу – встроена в виде куба в нишу. Вся кухонная зона выполнена в белых тонах, что визуально сильно увеличило пространство небольшой по площади части дома. Обеденная группа удобно расположились рядом с выходом на вернаду, где в теплое время года любят проводить время хозяева дома со своими друзьями. Подробнее о проекте на сайте 4living.ru Статьи на тему: 1. Какой стиль в интерьере выбрать 2. Начало новой культуры 3. В стиле лофт. Не для всех"
4,4.0,0.6448,"телефон, получить, банк, карта, вопрос, документ, оператор, почта, заявка, способ","Кредитные карты сегодня есть практически у каждого из нас. Они удобны, просты в использовании и позволяют быть уверенными в завтрашнем дне. В портфеле каждого банка есть кредитки и Тинькофф – не исключение. Он, в отличие от других российских банков, работает удаленно. У него нет отделений. Отсюда вопрос, как получить кредитную карту Тинькофф? Об этом я расскажу дальше. Как заказать кредитную карту Тинькофф? 2 простых способа Вы можете сделать это через Интернет и по телефону. Далее я остановлюсь на каждом из способов. Через Интернет Кредитная карта Тинькофф может быть оформлена на официальном сайте . Для этого, в первую очередь, следует определиться с видом карты. Сейчас, например, наибольшей популярностью пользуется Тинькофф Платинум . Банк Tinkoff предлагает больше 10 видов кредитных карт. Изучите условия каждой из них, а после выберите ту, которая Вам подходит. Выбрали? Тогда пора заполнить заявку на кредитную карту банка Тинькофф . В ней нужно указать: Фамилию, имя и отчество.Контакты (номер мобильного телефона, адрес электронного почтового ящика).Желаемый кредитный лимит.Паспортные данные.Адрес фактического проживания.Ежемесячный доход и расходы. Заполнив все поля, отправляйте анкету. Онлайн-заявка на кредитную карту Тинькофф будет рассматриваться банком. Этот процесс называется кредитным скорингом. Он может занять от нескольких минут до нескольких часов. Если при заполнении заявки у Вас возникнут вопросы, обращайтесь к онлайн-консультанту или звоните в банк Tinkoff по телефону. Вам ответят в течение 2-3 секунд. По телефону Кредитная карта Tinkoff может быть заказана по номеру 8-800-555-10-10. Не все знают об этом способе, поэтому или идут в офис банка-партнера, или подают заявку на официальном сайте. Для заказа карты по телефону позвоните оператору и сообщите о своем намерении. Он задаст Вам вопросы, на которые следует давать правдивые ответы. Заранее приготовьте паспорт. Оператор обязательно спросит его серию и номер. Заказывать кредитную карту по телефону очень удобно. Оператор самостоятельно вбивает полученные от Вас данные в поля заявки. Вам не стоит беспокоиться – все данные будут указаны верно и в нужном объеме. Как получить кредитную карту банка Тинькофф? Доставка кредитной карты Тинькофф возможна на дом курьером или по почте. Я рассмотрю каждый из способов. Доставкой на дом курьером В этом случае карту вместе с договором доставляет представитель банка. Он проверит личность заявителя, дабы убедиться, что Вы – это Вы. Также он попросит предъявить документы. Как правило, это: паспорт гражданина РФ;ИНН;загранпаспорт;водительские права. Он сфотографирует Вас и документ, удостоверяющий Вашу личность, и отправит снимки в Службу Безопасности на проверку. Дальше представитель банка предложит подписать кредитный договор. И если Вы решили оформить кредитную карту Тинькофф через Интернет с доставкой на дом, то это самый ответственный момент. Я настоятельно рекомендую сначала внимательно прочитать договор. На что обратить внимание, читая кредитный договор? На процентную ставку.На размер штрафа за просрочку ежемесячного платежа.На порядок решения спорных ситуаций.На права и обязанности сторон.На возможность заблокировать кредитку при ее потере или краже. Если условия кредитного договора Вас не устраивают, Вы имеете право отказаться от его подписания. А если у Вас возникнут какие-то вопросы – звоните в банк и задавайте их. После подписания документа Вы получите кредитную карту Тинькофф. Но она еще не активна. Для активации кредитной карты воспользуйтесь одним из трех простейших способов. Доставкой по «Почте России» Если в Вашем городе нет представителя банка Тинькофф, то Вы можете оформить кредитную карту Тинькофф через Интернет с доставкой по почте. Ведь отделения «Почты России» есть даже в маленьких и отдаленных населенных пунктах. О том, как Вы хотите получить карту, стоит задуматься еще на этапе заполнения онлайн-заявки. И когда перед Вами появится графа «Доставка карты», выбрать пункт «Почта России», а затем ввести адрес проживания. Кредитка будет доставлена заказным письмом. Как только она поступит в отделение почты, Вам придет оповещение. Когда Вы будете идти в отделение «Почты России» за пластиком, возьмите с собой паспорт гражданина РФ и его ксерокопию. Получив карту, поставьте свою подпись в кредитном договоре, приложите к нему ксерокопию паспорта и отправляйте эти документы в банк Тинькофф на рассмотрение. Как только банк получит Ваше письмо, на Ваш мобильный телефон придет SMS-сообщение о том, что кредитка активирована. Сколько делается кредитная карта Тинькофф? После того как Вы подали заявку в банк Tinkoff и получили по ней положительное решение, приступят к ее изготовлению. Это займет в среднем 1-2 дня. Если Вы выбираете доставку карты нам дом курьером, то получите ее через 3-4 дня после подачи онлайн-заявки. В крупных городах доставку выполняют уже на следующий день после изготовления кредитки. Выбирая доставку карты по почте, придется подождать чуть дольше – до 2 недель. В чем плюсы и минусы оформления кредитной карты Тинькофф? Я традиционно начну с преимуществ: Вам не придется собирать комплект документов, так как для подачи заявки достаточно иметь при себе только паспорт гражданина РФ.Вам не надо никуда спешить. У Вас есть время и возможность внимательно и осмысленно прочитать условия кредитного договора до его подписания.Вам не надо никуда ехать и стоять в очередях. Есть у кредитной карты Тинькофф и недостаток. Он заключается в том, что заемщик получает ее в неактивном состоянии. Значит, ему нужно будет потратить время на процесс активации. Кредитка будет недействительной до тех пор, пока Вы не подпишите ее на обратной стороне. Ставьте подпись шариковой ручкой. Заключение Кредитную карту Тинькофф можно оформить по онлайн-заявке на официальном сайте банка , а также по телефону. В первом случае Вы самостоятельно заполняете все поля анкеты, а во втором – за Вас это делает оператор. При заполнении заявки следует указать удобный для Вас способ получения карты. Это может быть доставка на дом курьером или доставка по почте. После того как заявка банком будет одобрена, ожидайте доставку кредитки. При ее заказе на дом это займет 3-4 дня, а по почте – до 14. Быстро и просто узнать решение по онлайн-заявке Вы сможете одним из четырех способов. У Вас остались вопросы? Задавайте их в комментариях и я с удовольствием на них отвечу. Понравилась статья? Ставьте лайк и подписывайтесь на мой канал!"
5,5.0,0.672,"режим, игра, танк, игрок, состояние, огромный, карта, команда, существовать, условие","Оригинал взят у pilip_pilipich в World of Tanks Пожалуй, единственная игра в своем роде, в которой вам предстоит принять руководство над своим танком и провести его в гущу событий времен второй мировой войны. На огромных локация вам предстоит управлять своим танком, причем это будет не рядовая аркада, игра расcчитана на подготовленного игрока, здесь много не только фана, но и хардкора. Здесь игроки получают возможность плечом к плечу сражаться с поклонниками стальных гигантов со всех уголков планеты, отстаивая свои претензии на мировое танковое господство. Не смотря на то, что в этом мире игроки управляют танками вместо привычных персонажей или эльфами, орками, гномами.. игра затягивает своим миром и геймплеем. По ходу прокачки вы сможете открывать все больше танков и возможностей. Тем самым у вас будет все больше тактических возможностей на различных локациях. World of Tanks показывает ваши навыки доминирования в онлайн играх такими, какими они есть. WoT сочетает в себе лучшее сразу из нескольких жанров - танковый симулятор, глобальный экшен, динамический шутер и тактическая стратегия. Симулятор. Уникальные модели танков, до мельчайших деталей воссозданные по реально существовавшим прототипам, позволяют полностью погрузиться в атмосферу танковых сражений Второй мировой. Все улучшения для танков доступны в строгом соответствии с историческими реалиями. Экшен. Командные операции по обнаружению и ликвидации вражеских танков, равно как и внезапные столкновения с противником, потребуют от вас молниеносной реакции и быстрых, эффективных действий. Шутер. Подвижная камера может превратить игру из экшена от третьего лица в полноценный шутер, позволяя уничтожать врагов как в обычном, так и в снайперском режиме. Стратегия. Грамотное распределение ролей и эффективное планирование совместных действий - ключ к общему успеху. Ваш арсенал внушителен - более 220 стальных машин, которые проектировались и выпускались в Советском Союзе, Германии, США, Франции, Великобритании и Китае с 30-х по 50-е годы XX века. Вы получите возможность управлять любой боевой единицей - от легендарных танков Второй мировой, таких как Т-34, «Тигр» или «Першинг», до экспериментальных моделей и прототипов, не покидавших стен конструкторских бюро. Все модели танков воссозданы по реально существовавшим прототипам и сбалансированы для сражений в игре, что позволяет погрузиться в атмосферу танковых баталий Второй мировой. Огромные поля Восточной Европы, узкие улочки немецких городов или воссозданная легендарная Прохоровка - все это лишь малая часть того, что ожидает игроков. Большое количество карт с открытой местностью и плотными городскими застройками позволят не только насладиться многообразием пейзажей, но и применять тактические уловки, исходя из конкретных боевых условий. Игровой процесс в «World of Tanks» основывается на битве двух случайно подобранных команд по 15 игроков - при этом в одной команде могут сочетаться танки разных наций и годов выпуска, реальные танки и экспериментальные модели. Условие победы в битве - полное уничтожение команды противника либо захват его базы, для чего один или несколько танков должны находиться в отмеченной зоне некоторое время, не получая при этом повреждений. С обновлением 0.7.4 были введены режимы «Штурм» (одна из команд должна, отбив атаку команды противника, удержать заданную точку) и «Встречный бой» (команды пытаются захватить единственный на карте контрольный пункт). Общение между игроками во время боев и координация действий осуществляются через текстовый чат либо голосом (между игроками в составе взвода, роты, либо в тренировочных комнатах). Игрок, танк которого уничтожен, выбывает из боя, но может либо наблюдать за сражением в режиме свободно переключающейся камеры, либо покинуть поле боя и вернуться в ангар, откуда немедленно отправиться в другое сражение на другом танке, или дождаться возвращения повреждённого танка из боя. Имеется рейтинговая система, которая отображает статистику побед и поражений и фиксирует достижения отдельного игрока. Имеется несколько основных режимов камеры: вид от третьего лица, когда игрок наблюдает за танком со стороны, и вид через прицел, который приближает объекты для более точных выстрелов. Существует также и третий режим камеры - гаубичный (при использовании САУ с навесным огнём). При включении этого режима можно наблюдать всю карту сверху, приближая или отдаляя камеру для прицеливания. Большое значение в «World of Tanks» уделяется исторической достоверности боевых машин. Это касается их внешнего вида, близкого к реалистичности бронирования, расположения внутренних и внешних агрегатов и экипажа. При создании моделей танков разработчики консультировались с военными историками и экспертами в области танкостроения, в том числе с автором известного броне-сайта Василием Чобитком. В игре реализована сложная модель повреждений, учитывающая тип и толщину брони, скорость снаряда и угол его встречи с бронёй, тип боеприпаса и ряд других факторов. Состояние танка тоже не исчерпывается единственным параметром «здоровья»: в конструкцию каждой машины заложены объекты, соответствующиедвигателю, ходовой части, орудию, боеукладке, бензобакам и прочим наиболее важным в функциональном плане узлам, а также членам экипажа; при этом каждый такой объект может быть повреждён индивидуально, что соответствующим образом скажется на поведении танка: повреждение двигателя может обездвижить танк, пробитый бак может вызвать пожар, а контуженный командир не сможет эффективно обнаруживать замаскированные вражеские танки. Обновление 0.8.0 добавило в игру реалистичную физику движения: теперь техника игроков может забираться на склоны возвышенностей, спускаться или даже падать с них, получая в некоторых случаях повреждения, тонуть в водоёмах на карте. Кроме того, при поворотах в движении на высокой скорости появляются заносы. В игре реализована сложная модель повреждений, учитывающая тип и толщину брони, скорость снаряда и угол его встречи с бронёй, тип боеприпаса и ряд других факторов. Состояние танка тоже не исчерпывается единственным параметром «здоровья»: в конструкцию каждой машины заложены объекты, соответствующиедвигателю, ходовой части, орудию, боеукладке, бензобакам и прочим наиболее важным в функциональном плане узлам, а также членам экипажа; при этом каждый такой объект может быть повреждён индивидуально, что соответствующим образом скажется на поведении танка: повреждение двигателя может обездвижить танк, пробитый бак может вызвать пожар, а контуженный командир не сможет эффективно обнаруживать замаскированные вражеские танки. Обновление 0.8.0 добавило в игру реалистичную физику движения: теперь техника игроков может забираться на склоны возвышенностей, спускаться или даже падать с них, получая в некоторых случаях повреждения, тонуть в водоёмах на карте. Кроме того, при поворотах в движении на высокой скорости появляются заносы. На основании вышеизложенного, считаю просто необходимым поддержать ИГРУ в конкурсе!!!! А вот как это будет происходить сама помощь: Перейти на сайт голосования , и залогинившись под новым аккаунтом или аккаунтом любой соцсети (кнопочка Log In слева вверху) проголосовать за World Of Tanks. А потом на страничке игры под кнопкой SELECTED надо подтвердить голосование, нажав на ссылку «Submit your votes»."
6,6.0,0.5735,"место, город, вид, компания, известный, необходимый, список, вечер, стоять, человек","Представляем список мест Грузии, куда можно поехать вместе со своей второй половинкой и насладиться невероятной романтикой. Сигнахи Сигнахи — красивый старый город в Кахети, который еще называют Городом любви. Город расположен в центре винодельческих регионов страны и привлекает своей красивой природой и старинными улицами, по которым всегда приятно прогуляться вдвоем. Сигнахи — одно из лучших мест для влюбленных. Здесь в любое время дня и ночи можно заключить брак, а на здании местной мэрии висят уличные часы, которые никогда не показывают верного времени, ведь счастливые часов не наблюдают. Мтацминда Парк Мтацминда — самый высокий парк развлечений в Тбилиси, расположенный на одноименной горе. Достопримечательности европейского стандарта, красивый пейзаж, множество кафе и ресторанов делают незабываемым любую прогулку. Признания в любви на этой горе были популярны уже в советские времена, ведь здесь, ко всему прочему, в часовне проводят свадебные церемонии. Добраться сюда можно на фуникулере, ехать лучше на закате или ночью — так вы сможете насладиться потрясающим видом на Тбилиси, окутанный ночными огнями. Наверху вместе со своей второй половинкой любуйтесь видом на город, пейте шампанское и признавайтесь в любви. Батуми Батуми — самый очаровательный и романтический приморский город Грузии, расположенный на побережье Черного моря. Если вы приехали в Батуми с любимым человеком, вам не понадобится много усилий, чтобы почувствовать в воздухе запах любви. Здесь можно прогуляться по побережью, послушать шум волн и встретить вместе закат. Но если этого окажется недостаточно, вот вам список самых романтичных мест в Батуми: скульптура Али и Нино, Ботанический сад, канатная дорога Арго и танцевальные фонтаны. Казбеги Еще одним идеальным местом для романтического свидания считается Казбеги — горный район Грузии. Здесь вместе со своей второй половинкой вы сможете прогуляться по сельским улицам с видом на горы и церковь Троицы Гергети. Гора Казбеги — третья по высоте гора в Грузии и седьмая по высоте вершина горного хребта Кавказа, а Троицкая церковь Гергети со своими чудесами известна как одно из самых красивых и захватывающих мест для посещения, поэтому если у вас есть возможность поехать туда с любимым человеком, не упускайте ее. Нарикала Нарикала — древняя крепость с видом на Тбилиси и излюбленное место для грузинских и иностранных пар, которые хотят отдохнуть на свежем воздухе с потрясающим видом на живописную столицу. Здесь вы насладитесь уютной атмосферой, исключительным видом на реку Мтквари, церковь Метехи и отдохнете от городского шума. А если вы поедете туда вечером, возьмете бутылку вина и теплый плед, такие впечатления еще долго будут храниться в вашем сердце и в сердце любимого человека."
