,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.6506,"право, закон, дело, гражданин, документ, должный, суд, вопрос, президент, сотрудник","В очередной раз на наше заявление в отношении руководства ТД «ДВС» в ОБЭП ОМ №3 по г. Барнаулу ответили отказом возбудить уголовное дело. Причины отказа уже никого не удивляют - опять, как оказалось, НИКАК нельзя получить НИКАКИХ документов, которые подтверждают сделки купли-продажи между ТД «ДВС» и ООО ФПК «Барнаул РТИ» (было приобретено нежилое здание и земельный участок по адресу г. Барнаул, ул. Малахова 2д/1, чему есть документальное подтверждение как в Росреестре, так и в налоговых органах). Аргументы правоохранителей нас не убедили, поэтому мы решили направить жалобу Прокурору Ленинского района г-ну Елизарову. Пусть они теперь расскажут о своей беспомощности коллегам из прокуратуры. Уважаемый Владимир Евгеньевич! Столков В.В., являясь участником ООО ТД «ДВС», обратился в ОБЭП ОМ №3 по г.Барнаулу с заявлением в отношении неправомерных действий руководства ООО ТД «ДВС» - Олейника Н.В., выразившихся в приобретении ООО ТД «ДВС» у ООО ФПК «Барнаул РТИ» нежилого здания по адресу: г.Барнаул, ул.Малахова 2д/1., а так же земельного участка по этому же адресу. Доводы о фактах о злоупотреблений Олейником Н.В. своим положе-нием, достаточно подробно изложены в самом заявлении, а так же объясне-ниях опрошенных в ходе проверки граждан. По результата рассмотрения заявления 6 августа 2011г. вынесено постановление об отказе в возбуждении уголовного дела. Причем, в постановлении указывается, что формально в действиях Олейника Н.В. содержатся признаки преступления, однако в возбуждении уголовного дела отказано в связи с тем, что в ходе проверки не представляется возможным приобщить документы, подтверждающие факт совершения вышеуказанной сделки и перечисления по ней денежных средств. Считаю, что проверка, проведенная по заявлению, по результатам которой вынесено постановление, проведена поверхностно и противоречит требованиям действующего законодательства по следующим основаниям: По существу, единственным основанием для отказа в возбуждении уголовного дела послужил тот факт, что, как возможно предположить, ни Олейник Н.В., ни ООО ТД «ДВС», ни ООО ФПК «Барнаул РТИ» не представили документов подтверждающих факт заключения и исполнения договора купли-продажи нежилого помещения. Вместе с тем, ранее в мой адрес поступали вышеуказанные постановления с аналогичной формулировкой, что может только свидетельствовать о том, что сотрудники полиции не в полной мере используют предоставленные им действующим законодательством права по изучению и получению копий необходимых документов. В ходе проверки даже не был опрошен бывший на момент заключения сделки директор ООО ФПК «Барнаул РТИ». Кроме того, необходимые документы по заключению и исполнению сделки имеются в Управлении Росреестра по Алтайскому краю, а документы по составу участников ООО ТД «ДВС» и ООО ФПК «Барнаул РТИ» на момент совершения сделки в материалах регистрационных дел обществ в налоговых органах, копии которых возможно получить без каких-либо препятствий. Одной из причин того, что сотрудники ОБЭП ОМ №3 по г.Барнаулу не в полной мере используют предоставленные им права по получению необходимых документов, может являться то, что с самого начала проведения проверки на них постоянно оказывается давление со стороны УБЭП ГУВД МВД РФ по Алтайскому краю. Насколько мне известно, материалы проверки неоднократно истребовались на длительные сроки вышестоящим органом для их изучения, что может только свидетельствовать о наличии заинтересованности руководства УБЭП ГУВД МВД РФ по Алтайскому краю в том, чтобы проверка по моему обращению была проведена поверхностно и рассмотрение материалов попросту «заволокичино». На основании изложенного прошу Вас провести проверку полноты и всесторонности проведения проверки сотрудниками ОБЭП ОМ №3 по г.Барнаулу по моему обращению в отношении Олейника Н.В. по факту приобретения ООО ТД «ДВС» у ООО ФПК «Барнаул РТИ» нежилого здания по адресу: г.Барнаул, ул.Малахова, 2д/1. Столков В.В. Будем ждать с нетерпением ответа от г-на Елизарова."
1,1.0,0.3155,"человек, нужный, делать, мочь, проблема, жизнь, хотеть, время, стать, сделать","Каждый человек обладает слабостями, которые желает скрыть от посторонних глаз. Во многих из них мы сами себе боимся признаться. Однако отрицать тот факт, что они есть - не получится. Лев - самоуверенный Знак Зодиака, который на самом деле скрывает комплексы и ранимость. О многих слабостях Львов, вы могли даже не подозревать. Мы раскроем все тайны. Читайте в нашей статье ТОП-4 тайных слабостей Знака Зодиака Лев. Если Вы хотите получать больше астрологических прогнозов, подписывайтесь на наш канал! ТОП-4 ТАЙНЫХ СЛАБОСТЕЙ Знака Зодиака ЛЕВ: ТОП-4 Знака Зодиака, которые НЕДОЛЮБЛИВАЮТ ЛЬВОВ, читайте в НАШЕЙ СТАТЬЕ. ЗАКОМПЛЕКСОВАННОСТЬ Внешне - самоуверенные, самовлюбленные хищники. На самом деле, это искусная маска, под которой скрывается неуверенность в себе и куча комплексов. Львы могут похвастаться внушительным шлейфом из наличия комплексов и предрассудков. Лев - самый сильный Знак Зодиака, не позволяющий себе проявить хоть каплю слабости или недостатков. Львы слишком дорожат своей репутацией, поэтому искусно играют роль сильного и независимого человека. Только очень близкие люди могут знать о переживаниях и проблемах Льва, на публике, он никогда этого покажет. Комплексы становятся причиной других пороков Львов - гордыни, тщеславия, любви к роскоши. ЛЮБОВЬ К РОСКОШИ Львы славятся репутацией истинных ценителей прекрасного и дорого. Это ещё один способ скрыть свои комплексы. Львы питают слабость к дорогим вещам. Им важно создать картинку успешного, богатого человека, который ни в чём не нуждается. Львы верят, что создавая впечатление успешного человека, так они смогут привлечь удачу в свою жизнь. Львы всегда должны быть лучше других. Они заостряют особое внимание на своём внешнем виде, ведь образ Льва должен быть безупречным и безукоризненным. ""Казаться, а не быть!"", - такой принцип может значительно навредить репутации и авторитету Льва. ЗАВИСИМОСТЬ ОТ ЧУЖОГО МНЕНИЯ Львы создают о себе впечатление уверенных в себе, самовлюбленных эгоистов, которым не важно мнение общества. Это далеко не так. Всё, что Лев делает, он делает на публику, даже на подсознательном уровне. Львам важно получать похвалу и признание извне, иначе, зачем всёэто?! Зависимость от мнения окружающих пораждает во Львах ещё больше комплексов. Они могут делать вид, что руководствуются только своим мнением, но это будет далеко не так. Они отыгрывают свою роль, с постоянной оглядкой на мнение окружающих. Похвала может возвысить Льва, внушить уверенность в себе, критика - погубить и занизить самооценку. ИДЕАЛИСТИЧНОСТЬ На самом деле, Львы прирожденные идеалисты. Они, действительно, хотят сделать этот мир лучше. Львы не зациклены только на себе, своих желаниях и потребностях. Они любят, чтобы их окружали красивые вещи, красивые люди, красивые мысли. Поэтому считают своей главной задачей - совершенствовать этот мир. Кажется, что Львы большие эгоисты и им нет дела до окружающих людей. Но, это совсем не так. Львы сострадательны, умеют помогать и прийти на помощь в трудную минуту. Львам хочется делиться с окружающими красотой и роскошью, делая мир немного ярче и красочнее. 5 известных ЗАБЛУЖДЕНИЙ о представителях Знака Зодиака ЛЕВ, вы можете прочитать в НАШЕЙ СТАТЬЕ."
2,2.0,0.6413,"автомобиль, машина, иметь, машин, также, модель, качество, новый, использовать, размер","Многие автовладельцы обратили внимание на красную кнопку, расположенную под капотом. Подобный механизм часто устанавливается на французских машинах, но также встречается на марках других стран и даже в «классике». Давайте разберемся, для чего эта кнопка и можно ли на нее нажимать. Этот механизм, который выглядит как дизайн кнопки, выполняет довольно важную функцию. На самом деле, вы не можете нажать на него, потому что элемент срабатывает по инерции. Через корпус системы пропускается проводка от топливного насоса, чтобы он мог автоматически отключить его в случае происшествие. Это позволяет избежать подачи топлива в двигатель в случае серьезного повреждения. Правильно эта «кнопка» называется - «инерционный выключатель питания топливного насоса». Хочу заметить, что многие автовладельцы с таким выключателем сталкиваются с принудительной активацией защиты. Часто это происходит при падении в крепкие ямы и когда мотор подпрыгивает на подушках. Водители, которые не знают о наличии переключателя, начинают менять насос или ремонтировать его. На практике мощность можно вернуть, нажав на корпус, после чего топливо снова будет поступать в двигатель. Технология автоматического пилотирования удивительна. Новые функции появляются каждый год и очень быстро становятся не предметом роскоши, а обыденным вариантом. Мы не видим реальных автомобилей с автопилотом на дорогах. Однако в ближайшие годы многое может измениться, и профессия водителя уйдет в прошлое. В настоящее время существует неофициальное разделение на категории «автопилота». Конкретный класс автопилота определяется в зависимости от технического оснащения машины. Давайте рассмотрим их более подробно. Первая категория автопилота появилась около 10 лет назад с выходом адаптивного круиз-контроля. Он отличается от обычного не только удержанием определенной скорости, но и ориентацией в пространстве. Передняя часть автомобиля оснащена несколькими радарами, которые могут измерять расстояние и скорость. Это позволяет «прикрепить» впереди транспортное средство, автоматически ускорять, замедлять и сохранять желаемое расстояние. Теперь адаптивный круиз-контроль встречается даже на недорогих моделях автомобилей. Автопилот второй категории предусматривает частичную автоматизацию движения машины. Помимо адаптивного круиз-контроля, предполагается, что будет управление полосой движения и круговым обзором, благодаря которому автомобиль сможет оценивать ситуацию вокруг и переставлять. Именно второй класс автоматического пилотирования сейчас наиболее распространен. Мы видим необходимое оборудование для этого на средних и премиальных моделях. Для автопилота третьего класса у ведущих автопроизводителей уже есть все, что им нужно. Такое оборудование предполагает условную автоматизацию, то есть водителю в большинстве ситуаций даже не приходится держать руку на руле. Оборудование позволяет машине самостоятельно передвигаться по трассам, в пробках и на парковке. Но в некоторых городских условиях водителю придется взять на себя управление. Основная проблема развития автопилота третьей категории - законы и бюрократия. Общепринятая Венская конвенция не позволяет устанавливать такие системы на автомобили, и добиться изменений довольно сложно. Однако в Германии третья категория автопилота скоро станет легальной. Ходят слухи, что оборудование уже устанавливается на премиальные модели Audi, но доступ к его работе отключен программным обеспечением. С изменением законов владелец автомобиля может прийти к дилеру и установить новую прошивку без ограничений. Четвертая категория предполагает полную автоматизацию движения автомобиля, кроме исключительных ситуаций (очень плохая видимость, бездорожье и т. д.). Фактически, технологии для реализации этого класса в реальности уже есть у компаний Tesla, Renault, Audi и многих других. Пятый тип автопилота - абсолютная автоматизация. Не исключено, что с таким оборудованием не будет необходимости в руле и педалях. Важно отметить, что уже к 2024 году крупные компании планируют установить оборудование для четвертого класса автопилота в России. их модели. Россия пытается идти в ногу с Западом, но пока только ИТ-компания Яндекса занимается разработкой собственных технологий. Многие уже заметили свои фирменные беспилотные автомобили на дорогах. Вождение беспилотных автомобилей должно быть очень редким, а свободное время на дороге для выполнения других мероприятий. Будущее скоро!&lt;br&gt;Многие автовладельцы обратили внимание на красную кнопку, расположенную под капотом. Подобный механизм часто устанавливается на французских машинах, но также встречается на марках других стран и даже в «классике». Давайте разберемся, для чего эта кнопка и можно ли на нее нажимать. Этот механизм, который выглядит как дизайн кнопки, выполняет довольно важную функцию. На самом деле, вы не можете нажать на него, потому что элемент срабатывает по инерции. &amp;lt; Через корпус системы пропустить проводку от топливного насоса, чтобы он мог автоматически отключить его в случае аварии. Это позволяет избежать подачи топлива в двигатель в случае серьезного повреждения. Правильно эта «кнопка» называется - «инерционный выключатель питания топливного насоса». Хочу заметить, что многие автовладельцы с таким выключателем сталкиваются с принудительной активацией защиты. Часто это происходит при падении в крепкие ямы и когда мотор подпрыгивает на подушках. Водители, которые не знают о наличии переключателя, начинают менять насос или ремонтировать его. На практике мощность можно вернуть, нажав на корпус, после чего топливо снова будет поступать в двигатель. Технология автоматического пилотирования удивительна. Новые функции появляются каждый год и очень быстро становятся не предметом роскоши, а обыденным вариантом. Мы не видим реальных автомобилей с автопилотом на дорогах. Однако в ближайшие годы многое может измениться, и профессия водителя уйдет в прошлое. В настоящее время существует неофициальное разделение на категории «автопилота». Конкретный класс автопилота определяется в зависимости от технического оснащения машины. Давайте рассмотрим их более подробно. Первая категория автопилота появилась около 10 лет назад с выходом адаптивного круиз-контроля. Он отличается от обычного не только удержанием определенной скорости, но и ориентацией в пространстве. Передняя часть автомобиля оснащена несколькими радарами, которые могут измерять расстояние и скорость. Это позволяет «прикрепить» впереди транспортное средство, автоматически ускорять, замедлять и сохранять желаемое расстояние. Теперь адаптивный круиз-контроль встречается даже на недорогих моделях автомобилей. Автопилот второй категории предусматривает частичную автоматизацию движения машины. Помимо адаптивного круиз-контроля, предполагается, что будет управление полосой движения и круговым обзором, благодаря которому автомобиль сможет оценивать ситуацию вокруг и переставлять. Именно второй класс автоматического пилотирования сейчас наиболее распространен. Мы видим необходимое оборудование для этого на средних и премиальных моделях. Для автопилота третьего класса у ведущих автопроизводителей уже есть все, что им нужно. Такое оборудование предполагает условную автоматизацию, то есть водителю в большинстве ситуаций даже не приходится держать руку на руле. Оборудование позволяет машине самостоятельно передвигаться по трассам, в пробках и на парковке. Но в некоторых городских условиях водителю придется взять на себя управление. Основная проблема развития автопилота третьей категории - законы и бюрократия. Общепринятая Венская конвенция не позволяет устанавливать такие системы на автомобили, и добиться изменений довольно сложно. Однако в Германии третья категория автопилота скоро станет легальной. Ходят слухи, что оборудование уже устанавливается на премиальные модели Audi, но доступ к его работе отключен программным обеспечением. С изменением законов владелец автомобиля может прийти к дилеру и установить новую прошивку без ограничений. Четвертая категория предполагает полную автоматизацию движения автомобиля, кроме исключительных ситуаций (очень плохая видимость, бездорожье и т. д.). Фактически, технологии для реализации этого класса в реальности уже есть у компаний Tesla, Renault, Audi и многих других. Пятый тип автопилота - абсолютная автоматизация. Не исключено, что с таким оборудованием не будет необходимости в руле и педалях. Важно отметить, что уже к 2024 году крупные компании планируют установить оборудование для четвертого класса автопилота в России. их модели. Россия пытается идти в ногу с Западом, но пока только ИТ-компания Яндекса занимается разработкой собственных технологий. Многие уже заметили свои фирменные беспилотные автомобили на дорогах. Вождение беспилотных автомобилей должно быть очень редким, а свободное время на дороге для выполнения других мероприятий. Будущее скоро!&lt;br&gt;С развитием технологий передний привод практически вытеснил заднюю часть с рынка, который был установлен на все автомобили 30-40 лет назад. Многие считают, что привод на заднюю ось просто не имеет преимуществ перед своим конкурентом. На самом деле ситуация выглядит несколько иначе, эта конфигурация также имеет свои преимущества. Начнем с основного недостатка заднего привода - управляемости. Я согласен с этим фактом, но не полностью. Управляемость в автомобилях этого типа страдает на высокой скорости (кузов дрожит) и зимой, когда неправильный поворот приводит к заносу. Это связано с легкостью задней части автомобиля, которая вызывает недостаточное сцепление с проезжей частью. Давайте перейдем к достоинствам, основным из которых, как ни странно, также является управляемость. На автомобилях с задним приводом намного легче добиться быстрого ускорения после поворота благодаря отличному боковому сцеплению. Именно поэтому многие спортивные автомобили (и даже Формула"
3,3.0,0.5029,"ребёнок, мама, год, детеи, семья, муж, родитель, сын, дом, мать","Чтоб я в шкафу варенье не нашел. С тех пор я не рисую и не читаю сказки( Зато я нюхаю и слышу хорошо! Это репост Любовь-собственность ( патологическая эмоциональная связь с матерью нарциссом) 29/08/2013 15:28 Любовь-собственность ( патологическая эмоциональная связь с матерью нарциссом) 29/08/2013 15:28 Проблема детей нарциссических матерей имеет серьезные масштабы. 50-60-е годы 20 века принесло массу нарциссических личностей. Исследований на эту тему я не видела, но мне кажется, что советское государство, относящееся к личности, как к винтику, в растущих детях видело только заготовки для винтиков. Но, как бы там не происходило, факт, остается фактом. Нарциссов среди того поколения достаточно. Про нарциссический мам я уже писала и неоднократно к ним возвращалась в постах. Там и про отношения было, и про то, что ребенок для такой матери собственность и инструмент, что на многие годы деформирует психику ее чада. Единственно, о чем я сказала тогда вскользь, это постоянное поддержание патологической эмоциональной связи со своим уже выросшим ребенком. Несмотря на то, что отношения могут быть полностью замешаны на разного вида насилии, ребенок накрепко привязан к мамке и остается около нее, несмотря, на то, что родительница продолжает его третировать и портить всячески ему жизнь. Ну, конечно никто никого к батарее не привязывает, и скотчем к потолку не приклеивает. Ребенок вроде бы сам, по своей воле остается рядом. Он находится в постоянной попытке отрыва разной степени силы , либо прикован к маме уверенностью в своей никчемности, бесперспективности, бессилия перед жизнью. Ну и конечно, чувством вины (я не могу бросить маму и переехать в соседний дом, потому что мама растила-кормила-ночей-не-спала). Совсем не обязательно мать будет выглядеть как реальный буйный монстр. Все-таки такие случаи в обществе не поощряются, поэтому в целом избегаются родительницами. Им важно выглядеть хорошими в глазах окружающих. Речь пойдет о том, что мама какбэ любит чадо, но слишком сильно. Именно через любовь реализуется ее власть над выросшим ребенком, как над собственностью. Собственность иногда взбрыкивает и к ней применяют скрытое насилие Связь эту сложно разорвать, в первую очередь потому, что сам ребенок считает, что им вправе кто-то владеть. Никак не может быть по-другому. Мать в праве делать все, что хочет, потому что онажемать, и очень хороший человек. И эта уверенность, что быть собственностью хорошего человека можно и даже нужно ( ибо я должен быть кому-то нужен и полезен), разрушает в первую очередь жизнь такого выросшего ребенка с его партнером. Нормальным людям не нужны партнеры-инструменты, а инструменты часто нужны другим нарциссам. Последнее красок в жизни не добавляет. Не буду заниматься живописанием, напишу списком, как эта любовь-собственность выглядит. 1. Между матерью и ребенком не должно быть секретов. Если мама заподазривает, что 30-летняя дочь «недоговаривает» что-то из ее жизни, хоть какую-то деталь, она устраивает сцену «ты мне не доверяешь!». Дети часто, встречаясь с мамой, заранее испытывают тревогу, что придется все рассказать, потому что если не расскажешь, то мама будет клещами вытаскивать информацию. 2. Однако нередко дети, чаще дочери, маме все выкладывают сами, до малейших подробностей. « У нас с мамой нет секретов». То, что отношения близкие, это прекрасно, но у человека должен быть кусок жизни, который принадлежит только ему. При этом, откровенность может плохо кончаться для ребенка. Мать критикует, начинает активно во все вмешиваться, получает повод контролировать. Но дети все равно продолжают рассказывать свои секреты. 3. Мама обычно совершенно не стесняется самостоятельно сунуть нос туда, куда ей вздумается. Для нее нет границ в личной жизни взрослого ребенка. Она же его любит и добра желает. Любит потом пообщаться с дитем на эту тему. ( Я у тебя нашла записку в столе, вложенную в книгу. «Вася 3 часа». Что за Вася, и что ты с ним будешь делать?) 4. В браке или в отношениях для ребенка такой родительницы мама всегда важнее, чем партнер. Партнером немедленно могут пренебречь, какая бы ситуация не была. Могут бросить жену со схватками дома, потому что маме нужно привести сигарет ( на улице дождь, не будет же она по дождю к киоску идти). Очень прислушиваются к мнению мамы, что нужно делать в браке, какие отношения строить, что говорить партнеру, что требовать и как разрешать конфликты. После размолвок ребенок такой мамы связывается с родительницей ( часто звонит по телефону) и подробно рассказывает, что произошло. В целом мама в браке становится 3-им лицом, через которую преломляется все отношения в паре. Если партнер требует, защиты от посягательств свекрови или тещи на жизнь пары, проблема обычно заминается. Выросший ребенок не хочет ее решать. 5. Мама будто бы постоянно зависит от своих детей во всем, хотя на самом деле, она вполне бодра, здорова и дееспособна. Она постоянно настаивает, чтобы дети срывались из отпуска, уезжали с работы, отказывались от своих планов, потому что вот сейчас, в данную минуту она нуждается в их помощи ( С антресоли надо достать крышки от банок. Да, прямо сейчас, она не может ждать, пока у сына закончится совещание. У нее варенье кипит). От нее нельзя уехать, даже на субботу-воскресенье на шашлыки. Она здорова, прекрасно себя чувствует, а вдруг ночью что-то случится? Поехать в отпуск на 5 дней? Все 5 дней будет мучить совесть, а как же там мама? Начало самостоятельной жизни, это предательство, поэтому лучше ни с кем не встречаться, или встречаться так, чтобы мама не знала. 6. В подобных семьях существуют характерные правила - если тебе звонят, будь добр объяснить: кто, что сказал и зачем звонил; - во все комнаты должны быть открыты двери. Если вдруг взрослый ребенок закрывает дверь, то он что-то скрывает. - семья должна знать обо всех друзьях и знакомых. Если кто-то приходит в гости к взрослому ребенку, то мама должна присутствовать при разговоре, а то и сама говорить с гостем. Задавать ему всякие вопросы каверзные, проверяя, а хороший ли этот человек? - по поводу всего нужно спрашивать совета мамы, и не просто формально. К советам нужно прислушиваться и делать лучше так, как мама сказала, иначе обиды и скандал ( ты мне не доверяешь, что я тебе сделала плохого, я же добра желала) - праздники отмечаются только вместе. Без вариантов. Если хочешь встретить с кем-то другим, ты проклятый предатель и маму не любишь ( все, не нужна мама стала?) Проблема детей нарциссических матерей имеет серьезные масштабы. 50-60-е годы 20 века принесло массу нарциссических личностей. Исследований на эту тему я не видела, но мне кажется, что советское государство, относящееся к личности, как к винтику, в растущих детях видело только заготовки для винтиков. Но, как бы там не происходило, факт, остается фактом. Нарциссов среди того поколения достаточно. Про нарциссический мам я уже писала и неоднократно к ним возвращалась в постах. Там и про отношения было, и про то, что ребенок для такой матери собственность и инструмент, что на многие годы деформирует психику ее чада. Единственно, о чем я сказала тогда вскользь, это постоянное поддержание патологической эмоциональной связи со своим уже выросшим ребенком. Несмотря на то, что отношения могут быть полностью замешаны на разного вида насилии, ребенок накрепко привязан к мамке и остается около нее, несмотря, на то, что родительница продолжает его третировать и портить всячески ему жизнь. Ну, конечно никто никого к батарее не привязывает, и скотчем к потолку не приклеивает. Ребенок вроде бы сам, по своей воле остается рядом. Он находится в постоянной попытке отрыва разной степени силы , либо прикован к маме уверенностью в своей никчемности, бесперспективности, бессилия перед жизнью. Ну и конечно, чувством вины (я не могу бросить маму и переехать в соседний дом, потому что мама растила-кормила-ночей-не-спала). Совсем не обязательно мать будет выглядеть как реальный буйный монстр. Все-таки такие случаи в обществе не поощряются, поэтому в целом избегаются родительницами. Им важно выглядеть хорошими в глазах окружающих. Речь пойдет о том, что мама какбэ любит чадо, но слишком сильно. Именно через любовь реализуется ее власть над выросшим ребенком, как над собственностью. Собственность иногда взбрыкивает и к ней применяют скрытое насилие Связь эту сложно разорвать, в первую очередь потому, что сам ребенок считает, что им вправе кто-то владеть. Никак не может быть по-другому. Мать в праве делать все, что хочет, потому что онажемать, и очень хороший человек. И эта уверенность, что быть собственностью хорошего человека можно и даже нужно ( ибо я должен быть кому-то нужен и полезен), разрушает в первую очередь жизнь такого выросшего ребенка с его партнером. Нормальным людям не нужны партнеры-инструменты, а инструменты часто нужны другим нарциссам. Последнее красок в жизни не добавляет. Не буду заниматься живописанием, напишу списком, как эта любовь-собственность выглядит. 1. Между матерью и ребенком не должно быть секретов. Если мама заподазривает, что 30-летняя дочь «недоговаривает» что-то из ее жизни, хоть какую-то деталь, она устраивает сцену «ты мне не доверяешь!». Дети часто, встречаясь с мамой, заранее испытывают тревогу, что придется все рассказать, потому что если не расскажешь, то мама будет клещами вытаскивать информацию. 2. Однако нередко дети, чаще дочери, маме все выкладывают сами, до малейших подробностей. « У нас с мамой нет секретов». То, что отношения близкие, это прекрасно, но у человека должен быть кусок жизни, который принадлежит только ему. При этом, откровенность может плохо кончаться для ребенка. Мать критикует, начинает активно во все вмешиваться, получает повод контролировать. Но дети все равно продолжают рассказывать свои секреты. 3. Мама обычно совершенно не стесняется самостоятельно сунуть нос туда, куда ей вздумается. Для нее нет границ в личной жизни взрослого ребенка. Она же его любит и добра желает. Любит потом пообщаться с дитем на эту тему. ( Я у тебя нашла записку в столе, вложенную в книгу. «Вася 3 часа». Что за Вася, и что ты с ним будешь делать?) 4. В браке или в отношениях для ребенка такой родительницы мама всегда важнее, чем партнер. Партнером немедленно могут пренебречь, какая бы ситуация не была. Могут бросить жену со схватками дома, потому что маме нужно привести сигарет ( на улице дождь, не будет же она по дождю к киоску идти). Очень прислушиваются к мнению мамы, что нужно делать в браке, какие отношения строить, что говорить партнеру, что требовать и как разрешать конфликты. После размолвок ребенок такой мамы связывается с родительницей ( часто звонит по телефону) и подробно рассказывает, что произошло. В целом мама в браке становится 3-им лицом, через которую преломляется все отношения в паре. Если партнер требует, защиты от посягательств свекрови или тещи на жизнь пары, проблема обычно заминается. Выросший ребенок не хочет ее решать. 5. Мама будто бы постоянно зависит от своих детей во всем, хотя на самом деле, она вполне бодра, здорова и дееспособна. Она постоянно настаивает, чтобы дети срывались из отпуска, уезжали с работы, отказывались от своих планов, потому что вот сейчас, в данную минуту она нуждается в их помощи ( С антресоли надо достать крышки от банок. Да, прямо сейчас, она не может ждать, пока у сына закончится совещание. У нее варенье кипит). От нее нельзя уехать, даже на субботу-воскресенье на шашлыки. Она здорова, прекрасно себя чувствует, а вдруг ночью что-то случится? Поехать в отпуск на 5 дней? Все 5 дней будет мучить совесть, а как же там мама? Начало самостоятельной жизни, это предательство, поэтому лучше ни с кем не встречаться, или встречаться так, чтобы мама не знала. 6. В подобных семьях существуют характерные правила - если тебе звонят, будь добр объяснить: кто, что сказал и зачем звонил; - во все комнаты должны быть открыты двери. Если вдруг взрослый ребенок закрывает дверь, то он что-то скрывает. - семья должна знать обо всех друзьях и знакомых. Если кто-то приходит в гости к взрослому ребенку, то мама должна присутствовать при разговоре, а то и сама говорить с гостем. Задавать ему всякие вопросы каверзные, проверяя, а хороший ли этот человек? - по поводу всего нужно спрашивать совета мамы, и не просто формально. К советам нужно прислушиваться и делать лучше так, как мама сказала, иначе обиды и скандал ( ты мне не доверяешь, что я тебе сделала плохого, я же добра желала) - праздники отмечаются только вместе. Без вариантов. Если хочешь встретить с кем-то другим, ты проклятый предатель и маму не любишь ( все, не нужна мама стала?)"
