,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,23.0,"человек, мир, бог, жизнь, слово, говорить, свет, смысл, дух, видеть",125.0,0.0509
1.0,13.0,"цвет, одежда, стиль, девушка, выглядеть, красота, форма, волос, вариант, вещь",51.0,0.0208
2.0,1.0,"фотография, очень, фото, стоять, снимать, вкус, камера, получить, фотограф, делать",53.0,0.0216
3.0,4.0,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться",64.0,0.026
4.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",110.0,0.0448
5.0,13.0,"цвет, одежда, стиль, девушка, выглядеть, красота, форма, волос, вариант, вещь",86.0,0.035
6.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",94.0,0.0383
7.0,16.0,"день, время, год, новый, очень, место, праздник, ждать, знак, лето",84.0,0.0342
8.0,15.0,"власть, народ, страна, русский, стать, часть, советский, город, оригинал_взят, национальный",57.0,0.0232
9.0,1.0,"фотография, очень, фото, стоять, снимать, вкус, камера, получить, фотограф, делать",148.0,0.0602
10.0,25.0,"животное, жизнь, собака, жить, кошка, знать, рука, голова, убивать, умереть",144.0,0.0586
11.0,19.0,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист",68.0,0.0277
12.0,18.0,"интернет, проект, программа, тема, нужный, саит, реклама, ссылка, работа, компьютер",63.0,0.0256
13.0,11.0,"год, страна, тысяча, область, регион, работать, стать, налог, государство, население",92.0,0.0374
14.0,10.0,"ребёнок, женщина, мужчина, семья, детеи, жизнь, муж, мама, жена, девушка",54.0,0.022
15.0,18.0,"интернет, проект, программа, тема, нужный, саит, реклама, ссылка, работа, компьютер",75.0,0.0305
16.0,10.0,"ребёнок, женщина, мужчина, семья, детеи, жизнь, муж, мама, жена, девушка",74.0,0.0301
17.0,17.0,"деньга, компания, цена, рынок, бизнес, рублеи, год, товар, рост, купить",108.0,0.044
18.0,11.0,"год, страна, тысяча, область, регион, работать, стать, налог, государство, население",94.0,0.0383
19.0,31.0,"время, мочь, возможный, сторона, начать, начинать, должный, движение, пока, энергия",117.0,0.0476
20.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",81.0,0.033
21.0,30.0,"военный, ракета, американский, еврей, воин, американец, стать, воины, план, территория",49.0,0.0199
22.0,13.0,"цвет, одежда, стиль, девушка, выглядеть, красота, форма, волос, вариант, вещь",23.0,0.0094
23.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",68.0,0.0277
24.0,14.0,"вообще, дело, очень, стать, хотеть, сказать, деиствительно, делать, кстати, прийтись",83.0,0.0338
25.0,6.0,"игра, команда, стать, играть, клуб, победа, хороший, счёт, игрок, матч",84.0,0.0342
26.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",67.0,0.0273
27.0,10.0,"ребёнок, женщина, мужчина, семья, детеи, жизнь, муж, мама, жена, девушка",22.0,0.009
28.0,10.0,"ребёнок, женщина, мужчина, семья, детеи, жизнь, муж, мама, жена, девушка",68.0,0.0277
29.0,15.0,"власть, народ, страна, русский, стать, часть, советский, город, оригинал_взят, национальный",52.0,0.0212
30.0,8.0,"закон, право, документ, решение, суд, иметь, сотрудник, мочь, получить, лицо",74.0,0.0301
31.0,17.0,"деньга, компания, цена, рынок, бизнес, рублеи, год, товар, рост, купить",25.0,0.0102
32.0,7.0,"время, час, работать, друг, знать, человек, день, ходить, решить, сидеть",,
33.0,31.0,"время, мочь, возможный, сторона, начать, начинать, должный, движение, пока, энергия",,
34.0,6.0,"игра, команда, стать, играть, клуб, победа, хороший, счёт, игрок, матч",,
35.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",,
36.0,4.0,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться",,
37.0,20.0,"машина, автомобиль, год, мочь, земля, самолёт, машин, скорость, солнце, водитель",,
38.0,19.0,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист",,
39.0,21.0,"общество, являться, должный, свобода, мир, человек, существовать, сознание, людеи, социальный",,
40.0,20.0,"машина, автомобиль, год, мочь, земля, самолёт, машин, скорость, солнце, водитель",,
41.0,24.0,"дом, город, место, улица, дорога, здание, строительство, квартира, деревня, метр",,
42.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
43.0,16.0,"день, время, год, новый, очень, место, праздник, ждать, знак, лето",,
44.0,18.0,"интернет, проект, программа, тема, нужный, саит, реклама, ссылка, работа, компьютер",,
45.0,5.0,"человек, очень, людеи, мочь, хороший, поэтому, причина, считать, плохой, часто",,
46.0,7.0,"время, час, работать, друг, знать, человек, день, ходить, решить, сидеть",,
47.0,28.0,"вопрос, почему, сказать, говорить, нужный, хотеть, знать, делать, понимать, сегодня",,
48.0,11.0,"год, страна, тысяча, область, регион, работать, стать, налог, государство, население",,
49.0,11.0,"год, страна, тысяча, область, регион, работать, стать, налог, государство, население",,
50.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
51.0,4.0,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться",,
52.0,7.0,"время, час, работать, друг, знать, человек, день, ходить, решить, сидеть",,
53.0,19.0,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист",,
54.0,23.0,"человек, мир, бог, жизнь, слово, говорить, свет, смысл, дух, видеть",,
55.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
56.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",,
57.0,10.0,"ребёнок, женщина, мужчина, семья, детеи, жизнь, муж, мама, жена, девушка",,
58.0,16.0,"день, время, год, новый, очень, место, праздник, ждать, знак, лето",,
59.0,29.0,"канал, статья, спасибо, подписываитесь, посмотреть, пара, комментарий, дом, комната, окно",,
60.0,20.0,"машина, автомобиль, год, мочь, земля, самолёт, машин, скорость, солнце, водитель",,
61.0,15.0,"власть, народ, страна, русский, стать, часть, советский, город, оригинал_взят, национальный",,
62.0,24.0,"дом, город, место, улица, дорога, здание, строительство, квартира, деревня, метр",,
63.0,6.0,"игра, команда, стать, играть, клуб, победа, хороший, счёт, игрок, матч",,
64.0,30.0,"военный, ракета, американский, еврей, воин, американец, стать, воины, план, территория",,
65.0,18.0,"интернет, проект, программа, тема, нужный, саит, реклама, ссылка, работа, компьютер",,
66.0,7.0,"время, час, работать, друг, знать, человек, день, ходить, решить, сидеть",,
67.0,21.0,"общество, являться, должный, свобода, мир, человек, существовать, сознание, людеи, социальный",,
68.0,4.0,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться",,
69.0,16.0,"день, время, год, новый, очень, место, праздник, ждать, знак, лето",,
70.0,4.0,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться",,
71.0,25.0,"животное, жизнь, собака, жить, кошка, знать, рука, голова, убивать, умереть",,
72.0,25.0,"животное, жизнь, собака, жить, кошка, знать, рука, голова, убивать, умереть",,
73.0,18.0,"интернет, проект, программа, тема, нужный, саит, реклама, ссылка, работа, компьютер",,
74.0,18.0,"интернет, проект, программа, тема, нужный, саит, реклама, ссылка, работа, компьютер",,
75.0,7.0,"время, час, работать, друг, знать, человек, день, ходить, решить, сидеть",,
76.0,23.0,"человек, мир, бог, жизнь, слово, говорить, свет, смысл, дух, видеть",,
77.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
78.0,16.0,"день, время, год, новый, очень, место, праздник, ждать, знак, лето",,
79.0,8.0,"закон, право, документ, решение, суд, иметь, сотрудник, мочь, получить, лицо",,
80.0,17.0,"деньга, компания, цена, рынок, бизнес, рублеи, год, товар, рост, купить",,
81.0,23.0,"человек, мир, бог, жизнь, слово, говорить, свет, смысл, дух, видеть",,
82.0,14.0,"вообще, дело, очень, стать, хотеть, сказать, деиствительно, делать, кстати, прийтись",,
83.0,4.0,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться",,
84.0,4.0,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться",,
85.0,2.0,"век, время, церковь, русский, история, народ, год, великий, известный, начало",,
86.0,10.0,"ребёнок, женщина, мужчина, семья, детеи, жизнь, муж, мама, жена, девушка",,
87.0,4.0,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться",,
88.0,4.0,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться",,
89.0,7.0,"время, час, работать, друг, знать, человек, день, ходить, решить, сидеть",,
90.0,4.0,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться",,
91.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
92.0,26.0,"продукт, организм, мочь, питание, также, вода, вид, растение, кофе, полезный",,
93.0,30.0,"военный, ракета, американский, еврей, воин, американец, стать, воины, план, территория",,
94.0,5.0,"человек, очень, людеи, мочь, хороший, поэтому, причина, считать, плохой, часто",,
95.0,7.0,"время, час, работать, друг, знать, человек, день, ходить, решить, сидеть",,
96.0,22.0,"уровень, являться, часть, иметь, также, качество, высокий, однако, менее, количество",,
97.0,17.0,"деньга, компания, цена, рынок, бизнес, рублеи, год, товар, рост, купить",,
98.0,16.0,"день, время, год, новый, очень, место, праздник, ждать, знак, лето",,
99.0,22.0,"уровень, являться, часть, иметь, также, качество, высокий, однако, менее, количество",,
100.0,23.0,"человек, мир, бог, жизнь, слово, говорить, свет, смысл, дух, видеть",,
101.0,17.0,"деньга, компания, цена, рынок, бизнес, рублеи, год, товар, рост, купить",,
102.0,23.0,"человек, мир, бог, жизнь, слово, говорить, свет, смысл, дух, видеть",,
103.0,14.0,"вообще, дело, очень, стать, хотеть, сказать, деиствительно, делать, кстати, прийтись",,
104.0,20.0,"машина, автомобиль, год, мочь, земля, самолёт, машин, скорость, солнце, водитель",,
105.0,3.0,"работа, школа, работать, заниматься, учиться, учитель, курс, образование, знать, класс",,
106.0,17.0,"деньга, компания, цена, рынок, бизнес, рублеи, год, товар, рост, купить",,
107.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",,
108.0,6.0,"игра, команда, стать, играть, клуб, победа, хороший, счёт, игрок, матч",,
109.0,5.0,"человек, очень, людеи, мочь, хороший, поэтому, причина, считать, плохой, часто",,
110.0,6.0,"игра, команда, стать, играть, клуб, победа, хороший, счёт, игрок, матч",,
111.0,28.0,"вопрос, почему, сказать, говорить, нужный, хотеть, знать, делать, понимать, сегодня",,
112.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",,
113.0,25.0,"животное, жизнь, собака, жить, кошка, знать, рука, голова, убивать, умереть",,
114.0,17.0,"деньга, компания, цена, рынок, бизнес, рублеи, год, товар, рост, купить",,
115.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",,
116.0,3.0,"работа, школа, работать, заниматься, учиться, учитель, курс, образование, знать, класс",,
117.0,4.0,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться",,
118.0,13.0,"цвет, одежда, стиль, девушка, выглядеть, красота, форма, волос, вариант, вещь",,
119.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
120.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
121.0,19.0,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист",,
122.0,14.0,"вообще, дело, очень, стать, хотеть, сказать, деиствительно, делать, кстати, прийтись",,
123.0,19.0,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист",,
124.0,3.0,"работа, школа, работать, заниматься, учиться, учитель, курс, образование, знать, класс",,
125.0,17.0,"деньга, компания, цена, рынок, бизнес, рублеи, год, товар, рост, купить",,
126.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
127.0,18.0,"интернет, проект, программа, тема, нужный, саит, реклама, ссылка, работа, компьютер",,
128.0,30.0,"военный, ракета, американский, еврей, воин, американец, стать, воины, план, территория",,
129.0,19.0,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист",,
130.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",,
131.0,6.0,"игра, команда, стать, играть, клуб, победа, хороший, счёт, игрок, матч",,
132.0,8.0,"закон, право, документ, решение, суд, иметь, сотрудник, мочь, получить, лицо",,
133.0,7.0,"время, час, работать, друг, знать, человек, день, ходить, решить, сидеть",,
134.0,7.0,"время, час, работать, друг, знать, человек, день, ходить, решить, сидеть",,
135.0,20.0,"машина, автомобиль, год, мочь, земля, самолёт, машин, скорость, солнце, водитель",,
136.0,11.0,"год, страна, тысяча, область, регион, работать, стать, налог, государство, население",,
137.0,25.0,"животное, жизнь, собака, жить, кошка, знать, рука, голова, убивать, умереть",,
138.0,15.0,"власть, народ, страна, русский, стать, часть, советский, город, оригинал_взят, национальный",,
139.0,30.0,"военный, ракета, американский, еврей, воин, американец, стать, воины, план, территория",,
140.0,11.0,"год, страна, тысяча, область, регион, работать, стать, налог, государство, население",,
141.0,16.0,"день, время, год, новый, очень, место, праздник, ждать, знак, лето",,
142.0,16.0,"день, время, год, новый, очень, место, праздник, ждать, знак, лето",,
143.0,19.0,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист",,
144.0,6.0,"игра, команда, стать, играть, клуб, победа, хороший, счёт, игрок, матч",,
145.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
146.0,7.0,"время, час, работать, друг, знать, человек, день, ходить, решить, сидеть",,
