,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",201.0,0.0352
1.0,18.0,"фильм, книга, год, картина, цвет, автор, стиль, кино, представить, образ",149.0,0.0261
2.0,22.0,"очень, фотография, сделать, фото, снимать, интересный, получиться, картинка, кадр, делать",177.0,0.031
3.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",213.0,0.0373
4.0,18.0,"фильм, книга, год, картина, цвет, автор, стиль, кино, представить, образ",161.0,0.0282
5.0,29.0,"очень, интересный, канал, писать, спасибо, статья, читать, хотеть, комментарий, подписываитесь",214.0,0.0375
6.0,18.0,"фильм, книга, год, картина, цвет, автор, стиль, кино, представить, образ",219.0,0.0383
7.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",77.0,0.0135
8.0,7.0,"вообще, вполне, например, правда, часть, первый, совершенно, факт, слово, однако",205.0,0.0359
9.0,15.0,"подарок, праздник, очень, кофе, стол, магазин, пиво, пить, еда, стоять",96.0,0.0168
10.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",200.0,0.035
11.0,30.0,"год, страна, рынок, компания, бизнес, рост, уровень, цена, производство, экономика",131.0,0.0229
12.0,6.0,"интернет, проект, программа, информация, саит, компания, клиент, реклама, телефон, компьютер",108.0,0.0189
13.0,13.0,"деньга, рублеи, купить, цена, магазин, работать, получить, квартира, платить, месяц",175.0,0.0306
14.0,3.0,"ребёнок, мама, год, детеи, семья, муж, родитель, сын, дом, мать",291.0,0.0509
15.0,6.0,"интернет, проект, программа, информация, саит, компания, клиент, реклама, телефон, компьютер",214.0,0.0375
16.0,10.0,"женщина, мужчина, девушка, отношение, жена, любить, муж, пара, любовь, семья",161.0,0.0282
17.0,30.0,"год, страна, рынок, компания, бизнес, рост, уровень, цена, производство, экономика",245.0,0.0429
18.0,30.0,"год, страна, рынок, компания, бизнес, рост, уровень, цена, производство, экономика",233.0,0.0408
19.0,23.0,"время, мочь, свет, земля, солнце, вода, движение, находиться, воздух, сторона",213.0,0.0373
