,Topic_Num,Topic_Perc_Contrib,Keywords
0,0.0,0.6506,"право, закон, дело, гражданин, документ, должный, суд, вопрос, президент, сотрудник"
1,1.0,0.3155,"человек, нужный, делать, мочь, проблема, жизнь, хотеть, время, стать, сделать"
2,2.0,0.6413,"автомобиль, машина, иметь, машин, также, модель, качество, новый, использовать, размер"
3,3.0,0.5029,"ребёнок, мама, год, детеи, семья, муж, родитель, сын, дом, мать"
4,4.0,0.5481,"игра, играть, команда, клуб, стать, сеичас, победа, первый, игрок, место"
5,5.0,0.5927,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство"
6,6.0,0.5724,"интернет, проект, программа, информация, саит, компания, клиент, реклама, телефон, компьютер"
7,7.0,0.4433,"вообще, вполне, например, правда, часть, первый, совершенно, факт, слово, однако"
8,8.0,0.3556,"идти, сказать, пока, решить, пойти, стоять, общем, вообще, думать, дело"
9,9.0,0.4145,"нужный, важный, мочь, время, результат, цель, очень, вопрос, дело, способ"
10,10.0,0.3972,"женщина, мужчина, девушка, отношение, жена, любить, муж, пара, любовь, семья"
11,11.0,0.6415,"тело, организм, продукт, вес, поэтому, также, здоровье, время, питание, кожа"
12,12.0,0.5476,"бог, слово, человек, время, церковь, говорить, русский, вера, народ, жизнь"
13,13.0,0.605,"деньга, рублеи, купить, цена, магазин, работать, получить, квартира, платить, месяц"
14,14.0,0.461,"место, дорога, город, ехать, час, очень, путь, метро, машина, автобус"
15,15.0,0.4716,"подарок, праздник, очень, кофе, стол, магазин, пиво, пить, еда, стоять"
16,16.0,0.5705,"город, дом, год, улица, здание, место, находиться, вид, парк, музей"
17,17.0,0.3968,"рука, собака, дверь, кошка, дом, животное, окно, кот, глаз, комната"
18,18.0,0.6241,"фильм, книга, год, картина, цвет, автор, стиль, кино, представить, образ"
19,19.0,0.3888,"лето, рука, вода, снег, лес, место, осень, видеть, цветок, дерево"
20,20.0,0.4014,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать"
21,21.0,0.4797,"человек, врач, мозг, говорить, мочь, кровь, время, больница, делать, болезнь"
22,22.0,0.6656,"очень, фотография, сделать, фото, снимать, интересный, получиться, картинка, кадр, делать"
23,23.0,0.5521,"время, мочь, свет, земля, солнце, вода, движение, находиться, воздух, сторона"
24,24.0,0.6018,"являться, должный, система, иметь, общество, существовать, процесс, вопрос, развитие, источник"
25,25.0,0.6016,"работа, школа, работать, заниматься, год, учиться, класс, учитель, курс, язык"
26,26.0,0.3717,"знать, сказать, говорить, почему, хотеть, вопрос, понимать, вообще, думать, слово"
27,27.0,0.3698,"день, сегодня, утро, вечер, час, ночь, вчера, спать, завтра, хотеться"
28,28.0,0.3225,"год, стать, время, жить, решить, начать, история, месяц, работа, вернуться"
29,29.0,0.2704,"очень, интересный, канал, писать, спасибо, статья, читать, хотеть, комментарий, подписываитесь"
30,30.0,0.6123,"год, страна, рынок, компания, бизнес, рост, уровень, цена, производство, экономика"
31,31.0,0.3758,"время, знать, музыка, песня, группа, играть, новый, слушать, сеичас, голос"
